source,target,value
Xu et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Medline Metadata,1
D'angelo and van Eck,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's informations,1
Chuamming et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Citation Information,1
Jhawar et al.,Author Assignment,1
Author Assignment,Medline Metadata,1
Li et al.,Author Grouping,1
Author Grouping,XML Files,1
Ma Y. et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Citation Information and Researchers' personal files from Web,1
Quant et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Citation Information and Researchers' personal files from Web,1
Ma X. et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Citation Information and Researchers' personal files from Web,1
Wang C. et al.,Author Assignment,1
Author Assignment,DBLP data dump with author's informations,1
Wang H. et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's names and citation information,1
Kim J.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Citation Information and Researchers' personal files from Web,1
Lizhi Zhang,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's names and citation information,1
Zhang Z. et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Citation Information and Researchers' personal files from Web,1
Pooja et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Citation Information and Researchers' personal files from Web,1
Rodrigues et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Citation Information and Researchers' personal files from Web,1
Zhou et al.,Author Grouping,1
Author Grouping,Partitioning,1
Partitioning,Author's names and citation information,1
Firdaus et al.,Author Assignment,1
Author Assignment,DBLP data dump with author's informations,1
Xiong et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's names and citation information,1
Kim J. et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Medline Metadata,1
Mozafari,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's informations,1
Mihaljevic and Santamaría,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's names and documents,1
Correia et al.,Author Assignment,1
Author Assignment,Unknown,1
Zhiqiang Zhang et al.,Author Grouping,1
Author Grouping,Spectral Clustering,1
Spectral Clustering,Author's names and citation information,1
Pooja et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's names and citation information,1
Zhang Li et al.,Author Assignment,1
Author Assignment,Citation Information and Researchers' personal files from Web,1
Kim J. et al.,Author Grouping,1
Author Grouping,Author's names and citation information,1
Waqas et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's names and citation information,1
Firdaus et al.,Author Assignment,1
Author Assignment,Author's names and citation information,1
Rehs A.,Author Grouping,1
Author Grouping,Partitioning,1
Partitioning,Author's names and documents,1
Färber et al,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,XML Files,1
Backes and Dietze,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's names and documents,1
Manzoor et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Medline Metadata,1
Pooja et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's names and citation information,1
Boukhers et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's names and citation information,1
Färber et al,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's names and documents,1
Qiping et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's names and citation information,1
Santini et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's names and citation information,1
Waqas et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Citation Information and Researchers' personal files from Web,1
Fang et al.,Author Assignment,1
Author Assignment,Author's names and citation information,1
Gong et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's names and citation information,1
Choi et al.,Author Grouping,1
Author Grouping,Agglomerative,1
Agglomerative,Author's names and citation information,1
Chen et al.,Author Assignment,1
Author Assignment,Author's names and citation information,1
Kim and Kim.,Author Grouping,1
Author Grouping,Multiple methods,1
Multiple methods,Author's names and citation information,1
Huang et al.,Author Assignment,1
Author Assignment,Author's names and documents,1
Wang et al.,Author Assignment,1
Author Assignment,Author's names and documents,1
Huang et al.,Author Assignment,1
Author Assignment,Author's names and citation information,1
Li.,Author Assignment,1
Author Assignment,Author's names and citation information,1
Boukhers et al.,Author Assignment,1
Author Assignment,Author's names and citation information,1
Ye et al.,Author Grouping,1
Author Grouping,Partitioning,1